source,baseline_id,target,feature_set,model,reproduction_level,n_test,n_features,test_MAE,test_RMSE,test_R2_raw,test_Spearman_rho,test_Pearson_r,test_log_MAE,run_dir,test_log_R2,test_factor_acc_2x,test_acc_within_10pt
v2_highres,C2-ProjectInputCrossAttention,popularity,metadata_text_image,project_input_cross_attention,adapted,2808,3994,11193.8393,27649.9095,0.4478,0.8647,0.6897,0.9236,.exp/baseline/results/v2_highres_01_5,0.7525,0.4601,
v2_highres,C2-ProjectInputCrossAttention,meanScore,metadata_text_image,project_input_cross_attention,adapted,2808,3994,8.063,10.2662,0.0586,0.5044,0.5254,,.exp/baseline/results/v2_highres_01_5,,,0.6863
v2_highres,C2-ProjectInputRecurrentFusion,popularity,metadata_text_image,project_input_recurrent_fusion,adapted,2808,3994,10469.808,26964.748,0.4748,0.8673,0.6921,0.9151,.exp/baseline/results/v2_highres_01_6,0.7607,0.4605,
v2_highres,C2-ProjectInputRecurrentFusion,meanScore,metadata_text_image,project_input_recurrent_fusion,adapted,2808,3994,8.3908,10.5612,0.0037,0.4895,0.5107,,.exp/baseline/results/v2_highres_01_6,,,0.672
v2_highres,C3-RAG-None-XGB,popularity,metadata_text_image_rag_none,xgboost,inspired,2808,4002,9582.1103,25124.8945,0.544,0.8652,0.7488,0.8813,.exp/baseline/results/v2_highres_01_7,0.7769,0.4836,
v2_highres,C3-RAG-None-XGB,meanScore,metadata_text_image_rag_none,xgboost,inspired,2808,4002,8.2119,10.2677,0.0583,0.5575,0.573,,.exp/baseline/results/v2_highres_01_7,,,0.656
v2_highres,C3-RAG-Sparse-XGB,popularity,metadata_text_image_rag_sparse,xgboost,inspired,2808,4078,9219.1995,23114.4869,0.6141,0.8715,0.7858,0.9253,.exp/baseline/results/v2_highres_01_8,0.7523,0.4679,
v2_highres,C3-RAG-Sparse-XGB,meanScore,metadata_text_image_rag_sparse,xgboost,inspired,2808,4078,8.0691,10.0726,0.0938,0.5563,0.5731,,.exp/baseline/results/v2_highres_01_8,,,0.6731
v2_highres,C3-RAG-Dense-XGB,popularity,metadata_text_image_rag_dense,xgboost,inspired,2808,4078,9662.1298,24953.2523,0.5502,0.8614,0.7505,0.896,.exp/baseline/results/v2_highres_01_9,0.7722,0.4651,
v2_highres,C3-RAG-Dense-XGB,meanScore,metadata_text_image_rag_dense,xgboost,inspired,2808,4078,8.0937,10.1452,0.0806,0.558,0.5751,,.exp/baseline/results/v2_highres_01_9,,,0.6699
v2_highres,C3-RAG-Hybrid-XGB,popularity,metadata_text_image_rag_hybrid,xgboost,inspired,2808,4078,9967.652,25477.1057,0.5312,0.8641,0.7359,0.8972,.exp/baseline/results/v2_highres_01_10,0.7722,0.4651,
v2_highres,C3-RAG-Hybrid-XGB,meanScore,metadata_text_image_rag_hybrid,xgboost,inspired,2808,4078,8.1344,10.1904,0.0724,0.5657,0.5855,,.exp/baseline/results/v2_highres_01_10,,,0.6635
v2_highres,C3-RAG-Selective-XGB,popularity,metadata_text_image_rag_selective,xgboost,inspired,2808,4078,9256.1195,22990.5556,0.6182,0.8719,0.7874,0.9266,.exp/baseline/results/v2_highres_01_11,0.7537,0.4665,
v2_highres,C3-RAG-Selective-XGB,meanScore,metadata_text_image_rag_selective,xgboost,inspired,2808,4078,8.0901,10.1024,0.0884,0.5561,0.5742,,.exp/baseline/results/v2_highres_01_11,,,0.6667
v2_highres,C3-ProjectInputSKAPPProxy-XGB,popularity,metadata_text_image_rag_skapp_proxy,xgboost,inspired,2808,4087,10075.2543,25153.185,0.543,0.8633,0.7393,0.9363,.exp/baseline/results/v2_highres_01_12,0.7521,0.4548,
v2_highres,C3-ProjectInputSKAPPProxy-XGB,meanScore,metadata_text_image_rag_skapp_proxy,xgboost,inspired,2808,4087,7.8582,9.8838,0.1274,0.5634,0.5823,,.exp/baseline/results/v2_highres_01_12,,,0.6912
v2_highres,C3-ProjectInputSKAPPGraphProxy,popularity,metadata_text_image_rag_skapp_graph_proxy,project_input_skapp_graph_proxy,adapted,2808,42480,11254.5741,29150.9954,0.3862,0.8737,0.6929,0.9305,.exp/baseline/results/v2_highres_01_13,0.7575,0.4494,
v2_highres,C3-ProjectInputSKAPPGraphProxy,meanScore,metadata_text_image_rag_skapp_graph_proxy,project_input_skapp_graph_proxy,adapted,2808,42480,8.1218,10.2195,0.0671,0.5169,0.5453,,.exp/baseline/results/v2_highres_01_13,,,0.6806
c3_source_exact_k64,C3-SourceExact-Staged-K64,popularity,skapp_source_faithful_npz,source_exact_staged,source_faithful_diagnostic,3087,64,99140.0794,143347.7822,-15.0432,0.317,0.2336,3.4361,.exp/baseline/results/v2_source_exact_c3_pop_urgent_k64,-2.1272,0.0901,
