source,target,n,spearman,pearson,r2,calibration_slope,calibration_intercept,log_mae,mae
pop_only:no_yolo,popularity,3765,0.49979053519216593,0.5484628192123308,0.29792509810668644,1.0435399084501396,-0.34929118750235766,1.0358986133099288,
dual:no_yolo,popularity,1202,0.564720430505895,0.5145326815279586,-0.11881778836815937,0.8464298835655933,1.9290429637557258,1.170746284220097,
dual:no_yolo,meanScore,1202,0.57704114935868,0.5581448658585428,-0.3252874167848976,0.5889891803174414,27.631849848283306,,6.3363338124521995
pop_only:cover_yolo,popularity,3765,0.5212947781210663,0.568864765696824,0.3172549929950662,1.1621856047277028,-1.0094024525491143,1.0142722888890516,
dual:cover_yolo,popularity,1202,0.6072837497716057,0.5339515007549296,-0.161293013065263,0.930967785179341,1.443045225118413,1.2001040465045525,
dual:cover_yolo,meanScore,1202,0.5999164509146158,0.5817069489243872,-0.35731353585595427,0.636700937770895,25.286532842428983,,6.491945130387505
pop_only:cover_yolo_coverbanner_proxy,popularity,3765,0.516612403283795,0.5652511287325193,0.31491364446991166,1.129511001844005,-0.8316707422606894,1.0174095391849345,
dual:cover_yolo_coverbanner_proxy,popularity,1202,0.5954588815244926,0.5297630271772653,-0.1432887471148092,0.9056787568995349,1.5845334569276373,1.1880000004271338,
dual:cover_yolo_coverbanner_proxy,meanScore,1202,0.5921435190919472,0.5737015321473938,-0.3373980676381554,0.6197243264497677,26.098087908380695,,6.40983325329864
