exam,variant,target,pred_quantile,n,pred_mean,actual_mean,pred_median,actual_median,mean_log_error,actual_to_pred_ratio,mean_error,mae
pop_only,no_yolo,popularity,1,753,178.79185377250985,326.5790172642762,183.82589883470544,170.0,-0.15189197481755862,1.8265877911854247,,
pop_only,no_yolo,popularity,2,753,312.08559820001204,444.4714475431607,308.1481644349104,192.0,0.28181433842964854,1.4241972398172122,,
pop_only,no_yolo,popularity,3,753,466.356900070998,1571.5298804780878,462.3034647593858,270.0,0.3396248761157463,3.369800854750597,,
pop_only,no_yolo,popularity,4,753,726.4586254412328,3114.2297476759627,705.1538924692474,432.0,0.23495643336005853,4.286864576471175,,
pop_only,no_yolo,popularity,5,753,2214.4710153790597,13601.920318725099,1516.535388719857,2180.0,-0.3122419112118463,6.142288711056715,,
dual,no_yolo,popularity,1,241,246.07028218312715,1012.6639004149378,253.48929231965025,543.0,-1.0528050780616456,4.115344166839726,,
dual,no_yolo,popularity,2,240,466.6583171623123,2751.079166666667,466.44710462813885,735.5,-0.889787133785142,5.895275119911323,,
dual,no_yolo,popularity,3,240,725.7699081185607,5437.675,713.0928940819567,1066.5,-0.7788109687997046,7.492285005445155,,
dual,no_yolo,popularity,4,240,1161.0158776656401,10612.479166666666,1107.2488397091581,3153.0,-1.123010931751135,9.140683922432062,,
dual,no_yolo,popularity,5,241,3463.6803782511142,22517.020746887967,2600.653956355477,4366.0,-0.7000827790615117,6.500894507551903,,
dual,no_yolo,meanScore,1,241,45.44750591643055,54.80373443983403,46.049175394420494,54.400000000000006,,,-9.356228523403475,9.544209908319182
dual,no_yolo,meanScore,2,240,52.42132830114495,58.02291666666667,52.651288575703916,57.8,,,-5.601588365521719,6.1788965556826145
dual,no_yolo,meanScore,3,240,56.34560340233353,60.28666666666667,56.353811614921824,60.150000000000006,,,-3.9410632643331374,5.703597896481248
dual,no_yolo,meanScore,4,240,59.62896075663386,63.16375,59.600772926183915,62.7,,,-3.5347892433661494,5.2760790663228
dual,no_yolo,meanScore,5,241,63.667703944026165,65.33070539419087,63.00768003009853,64.7,,,-1.663001450164705,4.971207511310466
pop_only,cover_yolo,popularity,1,753,182.1492563473527,285.77290836653384,185.97371374852284,169.0,-0.10845495547810903,1.568894181053225,,
pop_only,cover_yolo,popularity,2,753,299.8801532619265,412.7901726427623,300.49284888421755,191.0,0.28338179305046807,1.3765171457752856,,
